Continent,Country,Province-chi,Town-chi,Location Chinese,Province-eng,Town-eng,Location English,Current Location,Latitude,Longitude,Name-chi,Type-chi,Business Name Chinese,Name-eng,Type-eng,Business Name English,Sector,Sub-Category,Address
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.794315,-122.406865,同益棧,雜貨,同益棧雜貨,Ting Yick Jan,General Merchandise,"Ting Yick Jan, General Merchandise",Retail Trade,General Merchandise Stores,31 Waverly Place
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.791288,-122.429757,譚家,公所,譚家公所,Tom Gar Kung Soo,Society,"Tom Gar Kung Soo, Society",Other Services,Overseas Chinese Associations,817 Clay St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.793291,-122.428158,參來,洗衣,參來洗衣,Tom Loy,Laundry,"Tom Loy, Laundry",Other Services,Laundry Services,135 Jackson St.
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.79626,-122.406718,東昌,雜貨,東昌雜貨,Tong Chong,General Merchandise,"Tong Chong, General Merchandise",Retail Trade,General Merchandise Stores,803 Grant Ave
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.791288,-122.429757,同春閣,藥材,同春閣藥材,Tong Chun Gank,Drugs,"Tong Chun Gank, Drugs",Retail Trade,Health and Personal Care Stores,702½ Clay St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.791288,-122.429757,同興,理髮,同興理髮,Tong Hing,Barber,"Tong Hing, Barber",Other Services,Barber Shops,824 Clay St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.792374,-122.428297,同記,革履,同記革履,Tong Kee,Shoes,"Tong Kee, Shoes",Retail Trade,Footwear Stores,729 Washington St.
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.781349,-122.40512,東利,洗衣,東利洗衣,Tong Lee,Laundry,"Tong Lee, Laundry",Other Services,Laundry Services,953 Howard St.
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.797316,-122.403652,東成昌,呂宋煙,東成昌呂宋煙,Tong Shing Chong & Co.,Cigar Factory,"Tong Shing Chong & Co., Cigar Factory",Manufacturing,Tobacco Manufacturers,854 Pacific St.
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.794315,-122.406865,東生和,雜貨,東生和雜貨,Tong Sang Wo,General Merchandise,"Tong Sang Wo, General Merchandise",Retail Trade,General Merchandise Stores,44 Waverly Place
